city,date,player_of_match,venue,team1,team2,winner,result,result_margin
Delhi,06-05-2017,LMP Simmons,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Mumbai Indians,runs,146
Bangalore,07-05-2017,SP Narine,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Chandigarh,07-05-2017,DR Smith,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Gujarat Lions,Gujarat Lions,wickets,6
Hyderabad,08-05-2017,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,wickets,7
Chandigarh,09-05-2017,MM Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,runs,14
Kanpur,10-05-2017,SS Iyer,Green Park,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,wickets,2
Mumbai,11-05-2017,WP Saha,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,runs,7
Delhi,12-05-2017,KK Nair,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,runs,7
Kanpur,13-05-2017,Mohammed Siraj,Green Park,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Kolkata,13-05-2017,AT Rayudu,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,9
Pune,14-05-2017,JD Unadkat,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,Kings XI Punjab,Rising Pune Supergiant,wickets,9
Delhi,14-05-2017,HV Patel,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,10
Mumbai,16-05-2017,Washington Sundar,Wankhede Stadium,Mumbai Indians,Rising Pune Supergiant,Rising Pune Supergiant,runs,20
Bangalore,17-05-2017,NM Coulter-Nile,M Chinnaswamy Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Bangalore,19-05-2017,KV Sharma,M Chinnaswamy Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,6
Hyderabad,21-05-2017,KH Pandya,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,runs,1
Mumbai,07-04-2018,DJ Bravo,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,1
Chandigarh,08-04-2018,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,wickets,6
Kolkata,08-04-2018,SP Narine,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,wickets,4
Hyderabad,09-04-2018,S Dhawan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,wickets,9
Chennai,10-04-2018,SW Billings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,5
Jaipur,11-04-2018,SV Samson,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,runs,10
Hyderabad,12-04-2018,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,wickets,1
Bengaluru,13-04-2018,UT Yadav,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,wickets,4
Mumbai,14-04-2018,JJ Roy,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,wickets,7
Kolkata,14-04-2018,B Stanlake,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,5
Bengaluru,15-04-2018,SV Samson,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,runs,19
Chandigarh,15-04-2018,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,runs,4
Kolkata,16-04-2018,N Rana,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,71
Mumbai,17-04-2018,RG Sharma,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,runs,46
Jaipur,18-04-2018,N Rana,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Chandigarh,19-04-2018,CH Gayle,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,runs,15
Pune,20-04-2018,SR Watson,Maharashtra Cricket Association Stadium,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,64
Kolkata,21-04-2018,KL Rahul,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,9
Bengaluru,21-04-2018,AB de Villiers,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,wickets,6
Hyderabad,22-04-2018,AT Rayudu,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,runs,4
Jaipur,22-04-2018,JC Archer,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,3
Delhi,23-04-2018,AS Rajpoot,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,runs,4
Mumbai,24-04-2018,Rashid Khan,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,31
Bengaluru,25-04-2018,MS Dhoni,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,5
Hyderabad,26-04-2018,AS Rajpoot,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,13
Delhi,27-04-2018,SS Iyer,Feroz Shah Kotla,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,runs,55
Pune,28-04-2018,RG Sharma,Maharashtra Cricket Association Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,8
Jaipur,29-04-2018,KS Williamson,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,11
Bengaluru,29-04-2018,CA Lynn,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,6
Pune,30-04-2018,SR Watson,Maharashtra Cricket Association Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,runs,13
Bengaluru,01-05-2018,TG Southee,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,runs,14
Delhi,02-05-2018,RR Pant,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,runs,4
Kolkata,03-05-2018,SP Narine,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,wickets,6
Indore,04-05-2018,SA Yadav,Holkar Cricket Stadium,Kings XI Punjab,Mumbai Indians,Mumbai Indians,wickets,6
Pune,05-05-2018,RA Jadeja,Maharashtra Cricket Association Stadium,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,6
Hyderabad,05-05-2018,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,wickets,7
Mumbai,06-05-2018,HH Pandya,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,runs,13
Indore,06-05-2018,Mujeeb Ur Rahman,Holkar Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,wickets,6
Hyderabad,07-05-2018,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,5
Jaipur,08-05-2018,JC Buttler,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,runs,15
Kolkata,09-05-2018,Ishan Kishan,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,runs,102
Delhi,10-05-2018,S Dhawan,Feroz Shah Kotla,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,9
Jaipur,11-05-2018,JC Buttler,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,wickets,4
Indore,12-05-2018,SP Narine,Holkar Cricket Stadium,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,runs,31
Delhi,12-05-2018,AB de Villiers,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5
Pune,13-05-2018,AT Rayudu,Maharashtra Cricket Association Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,8
Mumbai,13-05-2018,JC Buttler,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,7
Indore,14-05-2018,UT Yadav,Holkar Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,10
Kolkata,15-05-2018,Kuldeep Yadav,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,wickets,6
Mumbai,16-05-2018,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,runs,3
Bengaluru,17-05-2018,AB de Villiers,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,runs,14
Delhi,18-05-2018,HV Patel,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,runs,34
Jaipur,19-05-2018,S Gopal,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,runs,30
Hyderabad,19-05-2018,CA Lynn,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Delhi,20-05-2018,A Mishra,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,runs,11
Pune,20-05-2018,L Ngidi,Maharashtra Cricket Association Stadium,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,wickets,5
Mumbai,22-05-2018,F du Plessis,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,wickets,2
Kolkata,23-05-2018,AD Russell,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,25
Kolkata,25-05-2018,Rashid Khan,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,14
Mumbai,27-05-2018,SR Watson,Wankhede Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,8
Chennai,23-03-2019,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,wickets,7
Kolkata,24-03-2019,AD Russell,Eden Gardens,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,6
Mumbai,24-03-2019,RR Pant,Wankhede Stadium,Mumbai Indians,Delhi Capitals,Delhi Capitals,runs,37
Jaipur,25-03-2019,CH Gayle,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,runs,14
Delhi,26-03-2019,SR Watson,Feroz Shah Kotla,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,wickets,6
Kolkata,27-03-2019,AD Russell,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,runs,28
Bengaluru,28-03-2019,JJ Bumrah,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,runs,6
Hyderabad,29-03-2019,Rashid Khan,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,wickets,5
Chandigarh,30-03-2019,MA Agarwal,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Kings XI Punjab,wickets,8
Delhi,30-03-2019,PP Shaw,Feroz Shah Kotla,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,tie,NA
Hyderabad,31-03-2019,JM Bairstow,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,runs,118
Chennai,31-03-2019,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,runs,8
Chandigarh,01-04-2019,SM Curran,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Capitals,Kings XI Punjab,runs,14
Jaipur,02-04-2019,S Gopal,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,7
Mumbai,03-04-2019,HH Pandya,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,37
Delhi,04-04-2019,JM Bairstow,Feroz Shah Kotla,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,5
Bengaluru,05-04-2019,AD Russell,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5
Chennai,06-04-2019,Harbhajan Singh,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,22
Hyderabad,06-04-2019,AS Joseph,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,runs,40
Bengaluru,07-04-2019,K Rabada,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,wickets,4
Jaipur,07-04-2019,HF Gurney,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,wickets,8
Chandigarh,08-04-2019,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,wickets,6
Chennai,09-04-2019,DL Chahar,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,7
Mumbai,10-04-2019,KA Pollard,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,wickets,3
Jaipur,11-04-2019,MS Dhoni,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,wickets,4
Kolkata,12-04-2019,S Dhawan,Eden Gardens,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,wickets,7
Mumbai,13-04-2019,JC Buttler,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,4
Chandigarh,13-04-2019,AB de Villiers,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Kolkata,14-04-2019,Imran Tahir,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,wickets,5
Hyderabad,14-04-2019,KMA Paul,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,runs,39
Mumbai,15-04-2019,SL Malinga,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,5
Chandigarh,16-04-2019,R Ashwin,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,runs,12
Hyderabad,17-04-2019,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,wickets,6
Delhi,18-04-2019,HH Pandya,Feroz Shah Kotla,Delhi Capitals,Mumbai Indians,Mumbai Indians,runs,40
Kolkata,19-04-2019,V Kohli,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,10
Jaipur,20-04-2019,SPD Smith,Sawai Mansingh Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,5
Delhi,20-04-2019,SS Iyer,Feroz Shah Kotla,Delhi Capitals,Kings XI Punjab,Delhi Capitals,wickets,5
Hyderabad,21-04-2019,KK Ahmed,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,wickets,9
Bengaluru,21-04-2019,PA Patel,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,1
Jaipur,22-04-2019,RR Pant,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Capitals,Delhi Capitals,wickets,6
Chennai,23-04-2019,SR Watson,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,wickets,6
Bengaluru,24-04-2019,AB de Villiers,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,runs,17
Kolkata,25-04-2019,VR Aaron,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,3
Chennai,26-04-2019,RG Sharma,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,runs,46
Jaipur,27-04-2019,JD Unadkat,Sawai Mansingh Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,wickets,7
Delhi,28-04-2019,S Dhawan,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,runs,16
Kolkata,28-04-2019,AD Russell,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,runs,34
Hyderabad,29-04-2019,DA Warner,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,45
Bengaluru,30-04-2019,NA,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,NA,NA,NA
Chennai,01-05-2019,MS Dhoni,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,runs,80
Mumbai,02-05-2019,JJ Bumrah,Wankhede Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,tie,NA
Chandigarh,03-05-2019,Shubman Gill,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
Delhi,04-05-2019,A Mishra,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,wickets,5
Bengaluru,04-05-2019,SO Hetmyer,M.Chinnaswamy Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,wickets,4
Chandigarh,05-05-2019,KL Rahul,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,wickets,6
Mumbai,05-05-2019,HH Pandya,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,wickets,9
Chennai,07-05-2019,SA Yadav,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Mumbai Indians,wickets,6
Visakhapatnam,08-05-2019,RR Pant,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,wickets,2
Visakhapatnam,10-05-2019,F du Plessis,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,wickets,6
Hyderabad,12-05-2019,JJ Bumrah,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Chennai Super Kings,Mumbai Indians,runs,1
Abu Dhabi,19-09-2020,AT Rayudu,Sheikh Zayed Stadium,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,wickets,5
Dubai,20-09-2020,MP Stoinis,Dubai International Cricket Stadium,Delhi Capitals,Kings XI Punjab,Delhi Capitals,tie,NA
Abu Dhabi,21-10-2020,Mohammed Siraj,Sheikh Zayed Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Sharjah,03-11-2020,S Nadeem,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,10
Sharjah,22-09-2020,SV Samson,Sharjah Cricket Stadium,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,runs,16
Abu Dhabi,24-10-2020,CV Varun,Sheikh Zayed Stadium,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,runs,59
Dubai,24-10-2020,CJ Jordan,Dubai International Cricket Stadium,Kings XI Punjab,Sunrisers Hyderabad,Kings XI Punjab,runs,12
Abu Dhabi,28-10-2020,SA Yadav,Sheikh Zayed Stadium,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,wickets,5
Sharjah,09-10-2020,R Ashwin,Sharjah Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,runs,46
Abu Dhabi,07-10-2020,RA Tripathi,Sheikh Zayed Stadium,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,runs,10
Sharjah,31-10-2020,Sandeep Sharma,Sharjah Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,5
Abu Dhabi,01-10-2020,KA Pollard,Sheikh Zayed Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,runs,48
Dubai,30-09-2020,Shivam Mavi,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,37
Abu Dhabi,02-11-2020,A Nortje,Sheikh Zayed Stadium,Royal Challengers Bangalore,Delhi Capitals,Delhi Capitals,wickets,6
Abu Dhabi,01-11-2020,RD Gaikwad,Sheikh Zayed Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,9
Dubai,11-10-2020,R Tewatia,Dubai International Cricket Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,wickets,5
Abu Dhabi,23-09-2020,RG Sharma,Sheikh Zayed Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,runs,49
Sharjah,17-10-2020,S Dhawan,Sharjah Cricket Stadium,Chennai Super Kings,Delhi Capitals,Delhi Capitals,wickets,5
Dubai,24-09-2020,KL Rahul,Dubai International Cricket Stadium,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,runs,97
Abu Dhabi,06-10-2020,SA Yadav,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,runs,57
Abu Dhabi,18-10-2020,LH Ferguson,Sheikh Zayed Stadium,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,tie,NA
Dubai,04-10-2020,SR Watson,Dubai International Cricket Stadium,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,wickets,10
Abu Dhabi,03-10-2020,YS Chahal,Sheikh Zayed Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,8
Sharjah,03-10-2020,SS Iyer,Sharjah Cricket Stadium,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,runs,18
Dubai,02-10-2020,PK Garg,Dubai International Cricket Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,runs,7
Dubai,18-10-2020,KL Rahul,Dubai International Cricket Stadium,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,tie,NA
Dubai,22-10-2020,MK Pandey,Dubai International Cricket Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,wickets,8
Dubai,05-10-2020,AR Patel,Dubai International Cricket Stadium,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,runs,59
Sharjah,26-10-2020,CH Gayle,Sharjah Cricket Stadium,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,wickets,8
Sharjah,23-10-2020,TA Boult,Sharjah Cricket Stadium,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,10
Dubai,17-10-2020,AB de Villiers,Dubai International Cricket Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,7
Abu Dhabi,10-10-2020,KD Karthik,Sheikh Zayed Stadium,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,runs,2
Dubai,27-10-2020,WP Saha,Dubai International Cricket Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,runs,88
Dubai,10-10-2020,V Kohli,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,37
Abu Dhabi,16-10-2020,Q de Kock,Sheikh Zayed Stadium,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,8
Sharjah,27-09-2020,SV Samson,Sharjah Cricket Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,wickets,4
Dubai,13-10-2020,RA Jadeja,Dubai International Cricket Stadium,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,runs,20
Abu Dhabi,11-10-2020,Q de Kock,Sheikh Zayed Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,wickets,5
Dubai,01-11-2020,PJ Cummins,Dubai International Cricket Stadium,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,runs,60
Sharjah,15-10-2020,KL Rahul,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,8
Abu Dhabi,29-09-2020,Rashid Khan,Sheikh Zayed Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,runs,15
Abu Dhabi,19-10-2020,JC Buttler,Sheikh Zayed Stadium,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,wickets,7
Dubai,21-09-2020,YS Chahal,Dubai International Cricket Stadium,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,runs,10
Dubai,31-10-2020,Ishan Kishan,Dubai International Cricket Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,wickets,9
Dubai,29-10-2020,RD Gaikwad,Dubai International Cricket Stadium,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,wickets,6
Abu Dhabi,30-10-2020,BA Stokes,Sheikh Zayed Stadium,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,wickets,7
Sharjah,04-10-2020,TA Boult,Sharjah Cricket Stadium,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,runs,34
Dubai,25-09-2020,PP Shaw,Dubai International Cricket Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,runs,44
Sharjah,12-10-2020,AB de Villiers,Sharjah Cricket Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,runs,82
Abu Dhabi,25-10-2020,BA Stokes,Sheikh Zayed Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,wickets,8
Dubai,08-10-2020,JM Bairstow,Dubai International Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,runs,69
Dubai,14-10-2020,A Nortje,Dubai International Cricket Stadium,Delhi Capitals,Rajasthan Royals,Delhi Capitals,runs,13
Dubai,25-10-2020,RD Gaikwad,Dubai International Cricket Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,wickets,8
Abu Dhabi,26-09-2020,Shubman Gill,Sheikh Zayed Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,wickets,7
